Year,지역,Value
2005,한국,"15,497 "
2010,한국,"59,194 "
2011,한국,"62,675 "
2012,한국,"59,472 "
2013,한국,"55,536 "
2014,한국,"52,451 "
2015,한국,"54,540 "
2016,한국,"61,888 "
2017,한국,"70,796 "
2018,한국,"84,749 "
2019,한국,"98,857 "
2005,일본,"114,865 "
2010,일본,"129,076 "
2011,일본,"138,563 "
2012,일본,"136,215 "
2013,일본,"135,803 "
2014,일본,"132,685 "
2015,일본,"131,980 "
2016,일본,"143,457 "
2017,일본,"164,338 "
2018,일본,"182,748 "
2019,일본,"202,907 "
2005,미국,"590,167 "
2010,미국,"684,807 "
2011,미국,"709,565 "
2012,미국,"740,475 "
2013,미국,"772,173 "
2014,미국,"829,412 "
2015,미국,"907,251 "
2016,미국,"971,417 "
2017,미국,"984,898 "
2018,미국,"987,314 "
2019,미국,"976,853 "
2010,캐나다,"95,590 "
2011,캐나다,"106,284 "
2012,캐나다,"151,244 "
2013,캐나다,"151,244 "
2014,캐나다,"164,274 "
2015,캐나다,"171,603 "
2016,캐나다,"189,478 "
2017,캐나다,"209,979 "
2018,캐나다,"224,548 "
2019,캐나다,"279,168 "
2005,호주,"177,034 "
2010,호주,"271,231 "
2011,호주,"262,597 "
2012,호주,"249,588 "
2013,호주,"249,868 "
2014,호주,"266,048 "
2015,호주,"294,438 "
2016,호주,"335,512 "
2017,호주,"381,202 "
2018,호주,"444,514 "
2019,호주,"509,160 "
2005,프랑스 ,"236,518 "
2013,프랑스 ,"228,639 "
2014,프랑스 ,"235,123 "
2015,프랑스 ,"239,409 "
2016,프랑스 ,"245,349 "
2017,프랑스 ,"258,380 "
2018,프랑스 ,"229,623 "
2019,프랑스 ,"246,378 "
2005,독일,"207,994 "
2010,독일,"201,844 "
2011,독일,"176,682 "
2012,독일,"184,594 "
2013,독일,"196,619 "
2014,독일,"239,134 "
2015,독일,"228,756 "
2016,독일,"244,575 "
2017,독일,"258,873 "
2018,독일,"311,738 "
2019,독일,"333,233 "
2005,영국,"318,399 "
2010,영국,"397,741 "
2011,영국,"419,946 "
2012,영국,"427,686 "
2013,영국,"416,693 "
2014,영국,"428,724 "
2015,영국,"430,833 "
2016,영국,"432,001 "
2017,영국,"435,734 "
2018,영국,"452,079 "
2019,영국,"489,019 "
2005,스웨덴,"16,087 "
2010,스웨덴,"31,534 "
2011,스웨덴,"36,522 "
2012,스웨덴,"28,629 "
2013,스웨덴,"25,437 "
2014,스웨덴,"25,361 "
2015,스웨덴,"26,672 "
2016,스웨덴,"28,029 "
2017,스웨덴,"28,747 "
2018,스웨덴,"30,912 "
2019,스웨덴,"30,912 "
