Year,지역,Value
2001,수도권," 543,443 "
2002,수도권," 590,498 "
2003,수도권," 611,190 "
2004,수도권," 630,832 "
2005,수도권," 661,802 "
2006,수도권," 705,500 "
2007,수도권," 746,081 "
2008,수도권," 764,324 "
2009,수도권," 772,894 "
2010,수도권," 824,031 "
2011,수도권," 849,096 "
2012,수도권," 873,546 "
2013,수도권," 902,795 "
2014,수도권," 934,530 "
2015,수도권," 970,612 "
2016,수도권," 1,005,660 "
2017,수도권," 1,056,050 "
2018,수도권," 1,104,680 "
2019,수도권," 1,126,470 "
2020,수도권," 1,127,010 "
2001,서울," 279,089 "
2002,서울," 302,491 "
2003,서울," 311,127 "
2004,서울," 311,895 "
2005,서울," 326,671 "
2006,서울," 346,327 "
2007,서울," 367,060 "
2008,서울," 377,681 "
2009,서울," 379,555 "
2010,서울," 394,080 "
2011,서울," 405,404 "
2012,서울," 410,095 "
2013,서울," 413,715 "
2014,서울," 421,485 "
2015,서울," 431,691 "
2016,서울," 442,949 "
2017,서울," 452,015 "
2018,서울," 471,732 "
2019,서울," 489,405 "
2020,서울," 487,930 "
2001,인천," 52,259 "
2002,인천," 58,337 "
2003,인천," 59,532 "
2004,인천," 63,099 "
2005,인천," 64,811 "
2006,인천," 69,245 "
2007,인천," 74,433 "
2008,인천," 71,903 "
2009,인천," 72,817 "
2010,인천," 79,583 "
2011,인천," 80,006 "
2012,인천," 81,459 "
2013,인천," 84,268 "
2014,인천," 89,784 "
2015,인천," 93,457 "
2016,인천," 96,812 "
2017,인천," 99,052 "
2018,인천," 98,785 "
2019,인천," 101,086 "
2020,인천," 99,782 "
2001,경기," 212,096 "
2002,경기," 229,670 "
2003,경기," 240,531 "
2004,경기," 255,838 "
2005,경기," 270,321 "
2006,경기," 289,928 "
2007,경기," 304,588 "
2008,경기," 314,739 "
2009,경기," 320,523 "
2010,경기," 350,369 "
2011,경기," 363,686 "
2012,경기," 381,992 "
2013,경기," 404,812 "
2014,경기," 423,261 "
2015,경기," 445,464 "
2016,경기," 465,902 "
2017,경기," 504,978 "
